name,teacherName,schoolName,outline
灵境——虚拟现实技术的应用,金莹,南京大学,虚拟现实行业技术概述1.1VR基础概念1.2泛交互概论与应用1.3行业应用前景1.4主流开发平台区别1.5VR项目的开发流程虚拟现实开发引擎2.1unity下载安装注册2.2unity界面布局2.3引擎菜单介绍2.4资源商店的使用2.5第一人称控制器2.6碰撞体添加2.7替换天空盒2.8UnityPackage2.9灯光介绍2.10项目设置与发布认识全景3.1全景视频的概念3.2全景拍摄设备简介3.3全景案例赏析与点评全景项目制作4.1全景硬件设备使用4.2全景画面缝合4.3全景图片导入Unity并观看4.4全景视频导入Unity并观看全景视频后期处理5.1全景视频字幕添加（1）5.2全景视频添加字幕（2）5.3动态效果添加及地面处理5.4全景视频调色及压缩全景视频交互添加6.1全景视频的播放6.2视角固定的全景视频交互添加6.3视角改变的全景视频交互添加（1）6.4视角改变的全景视频交互添加（2）Unity开发基础组件7.1场景天空盒的替换与调整7.2Unity的渲染模式7.3标准贴图类型（1）7.4标准贴图类型（2）7.5光照系统与烘焙7.6灯光探头组及屏幕特效组件Unity室内场景烘焙渲染8.1无光照白模渲染8.2房间模型贴图指定及无光照二次渲染8.3光照添加及屏幕特效组件的使用8.4室内场景模型贴图指定硬件交互开发9.1基础开发环境配置9.2场景跳转9.3VR UGUI环境配置9.4环形拖拽—开关门9.5线性拖拽—动画控制9.6碰撞交互检测基于HTC VIVE的VR智能家居开发案例10.1场景漫游10.2物体边缘高亮效果制作10.3物体交互面板加载10.4物体交互面板功能实现（1）10.5物体交互面板功能实现（2）10.6手柄交互面板的加载与隐藏10.7手柄交互面板按钮功能实现（1）10.8手柄交互面板按钮功能实现（2）10.9显示信息面板加载
网络空间安全概论,郭文忠,福州大学,第一章：网络空间安全概述1.1：绪论1.2：网络空间安全框架1.3：网络空间安全威胁第二章：信息安全法律法规（必修）2.1：信息安全法律法规概述2.2：计算机信息网络国际互联网安全保护方面的管理办法2.3：互联网络管理的相关法律法规2.4：有害数据及计算机病毒防治管理办法第三章：物理环境与设备安全（必修）3.1：物理安全和物理安全管理3.2：工控设备安全3.3：芯片安全3.4：可信计算第四章：网络安全技术（必修）4.1：防火墙概述4.2：防火墙关键技术4.3：入侵检测技术4.4：虚拟专用网第五章：网络攻防技术（必修）5.1：网络信息收集技术——网络踩点5.2：网络信息收集技术 ——网络扫描5.3：网络信息收集技术 ——网络查点5.4：Windows系统渗透基础5.5：Internet 协议安全问题5.6：基本的Web安全5.7：社会工程学攻击第六章：恶意代码及防护（必修）6.1：恶意程序概述6.2：病毒与蠕虫6.3：木马与网页木马6.4：僵尸网络与后门6.5：网络钓鱼与安卓恶意软件第七章：操作系统安全7.1：操作系统面临的安全威胁7.2：操作系统的安全脆弱性7.3：操作系统安全中的基本概念7.4：操作系统安全策略与安全模型7.5：操作系统安全机制7.6：Windows操作系统安全分析7.7：Android操作系统安全分析课后学习材料第八章：无线网络安全（必修）8.1：无线网络安全概述8.2：安卓与iOS安全8.3：移动终端安全8.4：穿戴设备安全8.5：无人机安全第九章：数据安全（必修）9.1：数据安全概述9.2：数据库安全机制与安全技术课后学习材料第十章：信息隐藏10.1：信息隐藏与图像10.2：图像信息伪装10.3：基于图像RGB空间的信息隐藏10.4：载体信号的时频分析10.5：DCT域信息隐秘基本算法10.6：基于混沌细胞自动机数字水印第十一章：密码学基础11.1：古典密码11.2：机械密码11.3：对称密码11.4：公钥密码第十二章：物联网安全及隐私保护（必修）12.1：物联网安全概述12.2：物联网感知层安全12.3：物联网网络层安全12.4：物联网应用层安全12.5：物联网应用中的隐私保护第十三章：区块链13.1:区块链概述13.2：数字货币与加密货币13.3：共识机制13.4：智能合约13.5：区块链应用
C语言程序设计,朱鸣华,大连理工大学,第1 周 程序设计与C语言简介1.1  程序设计基础1.2 算法基础1.3 初识C程序第2周  变量及表达式2.1 变量和常量2.2 运算符和表达式2.3 数据类型转换第3周  数据的输入与输出3.1 数据的格式化输出3.2 数据的交互式输入3.3 单个字符的输入输出3.4 顺序结构程序设计实例第4周 选择结构程序设计4.1 关系运算与逻辑运算4.2 程序分支结构—if-else语句4.3 多重分支结构-switch语句4.4 条件运算符与条件表达式4.5 选择结构程序错误分析第5周 循环结构程序设计5.1  循环概述5.2  循环语句5.3  循环嵌套5.4  循环流程控制第6周  循环程序设计实例6.1  循环结构程序设计-穷举法6.2  循环结构程序设计-迭代法6.3  循环结构程序常见错误第7周 一维数组及其引用7.1 数组概念的引入7.2 一维数组的定义及引用第8周 二维数组与字符数组8.1 二维数组的定义及引用8.2 字符数组与字符串第9周 函数的定义及调用9.1 函数的定义和调用9.2 函数的参数传递9.3 函数的嵌套调用与递归调用第10周 变量的作用域及编译预处理10.1 变量的作用域和存储方法10.2 内部函数与外部函数10.3 编译预处理10.4 函数编写程序示例第11周 指针一11.1 指针的基本概念及定义11.2 指针运算11.3 指针变量与数组11.4 指针编写程序示例第12周 指针二12.1  指针与函数12.2 指针数组12.3 指针与字符串数组12.4 指向数组的指针变量第13周 结构与共用体13.1 结构类型与结构体变量13.2 结构数组13.3 结构指针13.4 结构类型数据在函数间的传递13.5 共用体第14周 文件14.1  文件的基本概念14.2  文件的打开与关闭14.3  文件的顺序读写14.4  综合应用实例第14周编程练习
计算机辅助设计,漆楚生,北京林业大学,第一章 AutoCAD入门1.1 AutoCAD软件简介1.2 软件的下载与安装1.3 经典模式设置1.4 选项设置第二章 直线形二维图形绘制2.1 三角形绘制及捕捉2.2 直线绘制2.3 五角星（一）2.4 五角星（二）2.5 五星红旗绘制第三章 曲线形二维图形绘制3.1 拼花图绘制3.2 回字形图案绘制3.3 π形图案绘制3.4 三角零件图绘制3.5 木工锯片绘制3.6 紫荆花图绘制3.7 单人沙发立面图绘制第四章 高级二维图形绘制与编辑4.1 门框图绘制4.2 电梯间的绘制4.3 辅助类线的绘制4.4 图形形状调整4.5 洗手池绘制4.6 抽油烟机绘制4.7 床的绘制4.8 组合沙发的绘制4.9 外部对象转换为CAD图形第五章 二维图形修饰与输出5.1 文字及编辑5.2 图框及表格5.3 图层特性与设置5.4 标注（一）5.5 标注（二）5.6 窗口打印5.7 布局打印第六章 等轴测图绘制6.0 等轴测图绘制第七章 三维图形绘制与编辑7.1 三维绘图界面及从标变换7.2 凳子的绘制7.3 指接材的绘制7.4 几案的绘制7.5 垃圾桶的绘制7.6 文件夹的绘制7.7 木材剖分图第八章 土木工程建筑制图标准与案例8.1 建筑制图标准
汇编语言程序设计,邢建川,电子科技大学,第1章 基础知识1.1 汇编语言的一般概念1.2 学习和使用汇编语言的目的1.3 进位计数制及其相互转换1.4 带符号数的表示1.5 字符的表示1.6 基本逻辑运算第2章 IBM-PC微机的功能结构2.1 IBM-PC微机基本结构2.2 CPU寄存器结构及其用途2.3 存储器组织结构2.4 堆栈及其操作方法第3章 寻址方式与指令系统3.1 寻址方式3.2 指令系统3.3 指令编码第4章 汇编语言程序格式4.1 汇编语言语句种类及其格式4.2 汇编语言数据4.3 符号定义语句4.4 表达式与运算符4.5 程序的段结构4.6 过程定义伪指令4.7 当前位置计数器与定位伪指令4.8 标题伪指令TITLE4.9 从程序返回操作系统在方法第5章 程序控制结构及其设计技术5.1 顺序程序设计5.2 分支程序结构5.3 循环程序设计第6章 子程序设计6.1 调用与返回指令6.2 编制子程序的基本要求6.3 子程序设计举例6.4 DOS功能子程序调用第7章 汇编语言简单应用程序设计7.1 算数运算调整指令及其应用7.2 串和表的处理7.3 代码转换及其应用第8章 高级宏汇编语言8.1 结构8.2 记录8.3 宏指令8.4 重复汇编8.5 条件汇编第9章 输入输出程序设计9.1 输入输出程序设计第10章 IA-32微处理器汇编语言10.1 IA-32微处理器汇编语言第11章 汇编语言程序的开发11.1 汇编语言程序的开发11.2 使用VS2010编写运行汇编语言程序
操作系统原理,田丽华,西安交通大学,第一章 操作系统概述1.1 操作系统概念1.2 操作系统的发展1.3 多道批处理系统1.4 分时系统1.5 实时系统1.6 分布式系统第二章 操作系统结构2.1 计算机硬件2.2 硬件保护2.3 操作系统服务2.4 系统调用2.5 操作系统结构第三章 进程3.1 进程概念3.2 进程状态3.3 进程控制块 PCB3.4 操作系统调度3.5 进程操作3.6 进程创建3.7 进程通信：共享存储3.8 进程通信：消息传递第四章 线程4.1 线程的引入4.2 用户线程和内核线程4.3 多线程模型第五章 CPU调度5.1 CPU调度基本概念5.2 CPU调度算法：FCFS5.3 CPU调度算法：SJF5.4 CPU调度算法：优先级和RR5.5 CPU调度算法 多级队列第六章 进程同步6.1 进程同步背景6.2 临界区问题6.3 信号量6.4 哲学家问题6.5 生产者消费者问题6.6 读写问题第七章 死锁7.1 死锁基本概念7.2 死锁的必要条件7.3 死锁预防7.4 死锁避免7.5 银行家算法7.6 死锁检测和恢复第八章 内存管理8.1 内存管理背景8.2 固定分区分配8.3 连续内存分配8.4 分页8.5  分页硬件和TLB8.6 分段管理8.7 段页式管理第九章 虚拟内存9.1 虚拟内存9.2 请求调页9.3 页面置换9.4 页面置换算法9.5 帧分配9.6 颠簸第十章 文件系统10.1 文件概念及文件逻辑结构10.2 文件访问方式10.3.1 文件物理结构：连续结构10.3.2 文件物理结构：链接结构10.3.3 文件物理结构：索引结构10.4.1  目录10.4.2  目录结构10.5 空闲空间管理10.6 文件系统结构及文件系统实现第十一章 大容量存储11.1 磁盘结构11.2 磁盘调度第十二章 I/O系统12.1 I/O硬件及I/O控制方式12.2 缓冲管理12.3  I/O子系统12.4 设备独立软件12.5 设备驱动12.6 Spooling技术
机器人基础原理,房立金,东北大学,0 课程简介课程简介第1章 机器人组成与结构1.1 机器人概念及发展历程1.2 机械臂典型结构及类型1.3 机械臂连杆、关节及自由度1.4 机器人系统组成与结构第2章 位姿描述与坐标变换2.1 刚体的位置和姿态描述2.2 坐标系平移与旋转变换2.3 机器人的齐次坐标2.4 机器人的齐次变换第3章 连杆参数及运动学求解3.1 机器人位置运动学3.2 机器人正运动学3.3 机器人逆运动学3.4 机器人运动学实例分析第4章 机器人速度建模与分析4.1 连杆速度的传递与计算4.2 雅克比矩阵构建（矢量积法）4.3 坐标系的微分运动4.4 雅克比矩阵的构建(微分变换法）4.5 奇异及可操作性第5章 机器人动力学建模5-1 连杆间静力的传递及力雅克比矩阵5-2 转动惯量及惯性张量5-3 连杆间加速度的传递5-4 机器人动力学建模（牛顿-欧拉法）5-5 机器人动力学建模（拉格朗日方程方法）5-6 拉格朗日法动力学建模（四连杆机械臂）第6章 机器人关节驱动与控制6.1 机器人驱动系统概述6.2 关节驱动电机6.3 关节传动参数计算及负载特性6.4 关节伺服控制6.5 机器人传感器第7章 轨迹规划与控制7.1 轨迹规划7.2 用抛物线过渡的线性插值7.3 笛卡尔空间轨迹规划第8章 机器人非线性控制及力控制8.1 位姿及轨迹控制8.2 力控制8.3 力位柔顺控制第9章 机器人智能控制9-1 机器学习在机器人中的应用9-2 什么是机器学习9-3 机器学习基础1（分类问题）9-4 机器学习基础2（回归问题）9-5 计算机视觉19-6 计算机视觉29.7 模仿学习机器人9.8 自主学习机器人9.9 多智能体机器人9-10 未来智能机器人第10章 协作机器人10-1 协作机器人概念及内涵10-2 人机交互基本概念10-3 人机交互接口10-4 人机协作机器人编程第11章 仿真实验11-1  初识Matlab robotics toolbox11-2 建立机器人模型11-3 正逆运动学、轨迹规划11-4 速度与静力11-5 操作臂动力学11-6 Matlab simulink11-7 操作臂控制
数据结构,李建华,东北大学,第一章 绪论1.1 数据结构的概念1.2 抽象数据类型表示和实现1.3 算法和算法分析第二章 线性表2.1 线性表的类型定义2.2 线性表顺序表示和实现2.3 线性表链式表示和实现第三章 栈与队列3.1 栈3.2 队列第四章 串4.1 串类型的定义4.2 串的表示和实现第五章 数组与广义表5.1 数组的定义和存储结构5.2 广义表的定义和存储结构第六章 树和二叉树6.1 树与二叉树的基本概念6.2 遍历二叉树和线索二叉树6.3 树和森林6.4 哈夫曼树与哈夫曼编码第七章 图7.1 图的定义与术语7.2 图的存储结构7.3 图的遍历7.4 图的连通性7.5 有向图的应用第八章 查找8.1 查找的概念与术语8.2 静态查找表8.3 动态查找表8.4 哈希表第九章 内部排序9.1 排序概述9.2 插入排序9.3 快速排序9.4 选择排序9.5 归并排序9.6 基数排序
计算机组成原理,姜琳颖,东北大学,第1周 从0到10.1 课程计划0.2 课程研究范围1.1 控制复杂性的艺术1.2 数制系统第2周  二进制1.3 信息表示1.4 逻辑代数基础1.5 数字抽象1.6 功耗问题第2-14周 实验教学1-Logisim初尝试2-Logisim库3-Logisim子电路4-实验教学设计5-复杂问题简单化6-组合逻辑电路设计7-时序逻辑电路设计8-ALU设计9-乘法器设计10-存储器扩展第3周 组合逻辑设计2.1 组合逻辑基础2.2 布尔代数2.3 用卡诺图化简逻辑第4-5周 时序逻辑设计3.1 具有记忆功能的电路3.2 同步时序逻辑设计3.3 时序逻辑电路的时序3.4 并行3.5 设计乘法器第5-14周 硬件描述语言（选学）4.1 HDL应用背景知识4.2 HDL基础4.3 深入HDL第6周 常见数字模块5.1 加法器5.2 常见数字模块5.3 单精度定点乘法器5.4 单精度定点除法器第7周 复杂逻辑模块5.5 浮点数5.6 存储器5.7 逻辑阵列第8-9周 体系结构6.1 体系结构6.2 存储器大小端问题6.3 MIPS汇编语言6.4 MIPS机器语言6.5 使用MIPS汇编语言编程6.6 MIPS寻址方式6.7 生成可执行文件第10-11周 微结构7.1 性能分析7.2 单周期处理器7.3 多周期处理器7.4 流水线处理器冲突问题第12-13周 存储器系统8.1 多层次的储存体系结构8.2 存储器系统性能分析8.3 Cache8.4 虚拟存储器
计算机科学导论,董荣胜,桂林电子科技大学,"第1章 绪论【第1课时】计算机科学导论课程的构建问题【第2课时】计算思维与计算机科学导论【教学文档】【习题1】【第3课时】在广西师大漓江学院作如何学习CS导论报告第2章 计算学科的基本问题【第1课时】哥尼斯堡七桥问题【第2课时】汉诺塔问题【第3课时】证比求易算法和P=NP？【第4课时】RSA公开密钥密码系统【第5课时】旅行商问题与组合爆炸【第6课时】GOTO与程序结构【第7课时】哲学家共餐问题【第8课时】两军问题【教学文档】【习题2】【第10课时】停机问题【第11课时】找零问题、背包问题与贪婪算法第3章 计算学科的3个学科形态【第1课时】学生选课实例【第2课时】自然语言与形式语言【第3课时】自然语言形式化及实例【第4课时】图灵机的工作原理【第5课时】VComputer软件的演示、说明及下载使用【教学文档】【习题3】【第6课时】虚拟机与分层抽象第4章 计算学科的核心概念【第2课时】两个常见的算法【第3课时】数据结构【第4课时】数据的存储和表示【教学文档】【习题4】【第5课时】编码【第6课时】到广西师大漓江学院作报告与学生互相-猜姓氏【第1课时】算法的基本知识第5章 计算学科中的数学方法【第1课时】递归与迭代【教学文档】【习题5】【第2课时】随机数和蒙特卡罗方法【第3课时】数学与计算机科学的不同【第4课时】必要条件和充分条件【第5课时】猜姓氏游戏和猴子吃桃问题第6章 计算学科中的系统科学方法【第1课时】系统同构【教学文档】【习题6】【第2课时】人固有能力的局限性及使用工具后产生的力量【第3课时】软件开发的系统化方法需要遵循的基本原则第7章 社会与职业问题【第1课时】道德选择【第2课时】检举【教学文档】【习题7】【第3课时】企业的可持续发展【第4课时】敏捷开发方法实验一 分支和循环结构的简单程序设计【视频】Raptor使用介绍（注：如果无法播放视频，请切换到兼容模式或者使用Chrome、IE、火狐浏览器）【文档】实验内容【程序及文档】实验答案选择结构（热身实验）循环结构（热身实验）性能分析（热身实验）求平方根的“亚历山大的海伦算法”（进阶实验）两个正整数求和的算法（进阶实验）两个整数较大值的判定（进阶实验）输出1至10的累加和（进阶实验）三个数最大值的判定（进阶实验）两个循环嵌套程序效率的比较（进阶实验）分段函数求解（综合实验）农场主问题（综合实验）金字塔图形的输出（综合实验）二分支函数（综合实验）第8章 探讨与展望【第1课时】难度、复杂度与能力【第2课时】SOLO分类法【教学文档】【习题8】实验二 RSA公开密钥密码系统【文档】实验内容【程序及文档】实验答案质数判定（热身实验）输出给定区间内质数（热身实验）欧拉函数（热身实验）RSA公开密钥密码系统的构建（进阶实验）RSA公开密钥密码系统的加密和解密（进阶实验）实验三 存储程序式计算机的简单程序设计【视频】Vcomputer软件演示【文档】实验内容【程序及文档】实验答案一个机器指令程序的执行过程（热身实验）一个汇编指令程序的执行过程（热身实验）一个机器指令程序的简单修改（热身实验）一个机器指令程序的简单设计（热身实验）分段函数的求解（进阶实验）累加求和（进阶实验）迭代求和（进阶实验）实验四 递归算法、迭代算法及其比较【视频】迭代与递归【文档】实验内容【程序及文档】实验答案斐波那契数列的迭代实现（热身实验）斐波那契数列的递归实现（热身实验）n！的迭代求解（进阶实验）n！的递归求解（进阶实验）汉诺塔问题的递归算法（进阶实验）求f(a,b)=a^b（进阶实验）猴子吃桃（综合实验）判断回文（综合实验）递归画二叉树（扩展实验）实验五 数组实验【视频】一维数组热身实验【文档】实验内容【程序及文档】实验答案一维数组实验（热身实验）二维数组实验（热身实验）创建长度为100的数组（进阶实验）创建长度为100的数组并对数组元素赋值（进阶实验）存储斐波那契数列的前20项（进阶实验）二维数组（进阶实验）字符数组中单空格替换为双空格（综合实验）二维数组中元素的查找（综合实验）单重循环完成二分支函数（综合实验）实验六 栈的基本操作：push和pop【文档】实验内容【程序及文档】实验答案模拟栈操作（热身实验）两个栈用一个数组的表示（进阶实验）两个栈模拟一个队列（进阶实验）括号匹配的检验（综合实验）实验七 归并排序与折半查找【视频】归并排序与折半查找【文档】实验内容【程序及文档】实验答案子数组的合并算法（热身实验）二路归并排序（热身实验）折半查找（热身实验）查找和为x的两个元素（进阶实验）背包问题（进阶实验）轮转数组内数值的查找（综合实验）实验八 蒙特卡洛方法应用【视频】蒙特卡洛方法求π的程序示例【文档】实验内容【程序及文档】实验答案基于蒙特卡洛方法对圆周率π的求解（热身实验）基于蒙特卡洛方法对椭圆面积的求解（热身实验）基于蒙特卡洛方法对简单曲线下面积的求解（进阶实验）基于蒙特卡洛方法对球体在第一卦限体积的求解（进阶实验）基于蒙特卡洛方法对曲线下面积的求解（综合实验）基于蒙特卡洛方法对椭球在第一卦限体积的求解（综合实验）基于蒙特卡洛方法对抛物面相交部分体积的求解（综合实验）实验九 简单的卡通与游戏实验【文档】实验内容【程序及文档】实验答案绘制一个Hello Kitty（热身实验）绘制一朵花（进阶实验）设计一个“找茬”游戏（综合实验）"
空中机器人,任沁源,浙江大学,第1讲：空中机器人简介与基础知识1.1 空中机器人课程绪论1.2 空中机器人简史1.3 空中机器人名词解释1.4 空中机器人基本架构第2讲：空中机器人动态模型2.1 空中机器人姿态表示2.2 空中机器人坐标表示2.3 多旋翼空中机器人动态模型2.4 固定翼空中机器人动态模型第3讲：空中机器人测量与传感3.1 空中机器人传感器介绍（上）3.2 空中机器人传感器介绍（下）3.3 空中机器人中的组合传感器第4讲：空中机器人控制基础4.1 空中机器人控制基本概念和PID控制器4.2 多旋翼空中机器人基本控制方法（上）4.3 多旋翼空中机器人基本控制方法（下）4.4 固定翼空中机器人基本控制方法第5讲：空中机器人导航基础5.1 空中机器人导航基本概念5.2 空中机器人运动状态估计方法5.3 空中机器人同时定位与构图基本概念5.4 空中机器人运动规划方法第6讲：仿生扑翼空中机器人6.1 仿生扑翼空中机器人简介6.2 仿生扑翼空中机器人基本结构和运动方式6.3 仿生扑翼空中机器人的控制方法第7讲：空中机器人集群系统7.1 空中机器人集群技术基本概念7.2 空中机器人集群控制技术7.3 编队控制基础（上）7.4 编队控制基础（下）第8讲：空中机器人健康管理系统8.1 空中机器人健康管理系统基本概念8.2 空中机器人故障诊断基本方法第9讲：空中机器人应用与展望9.1 空中机器人先进应用9.2 空中机器人未来展望实践篇实践1：制作一架四旋翼空中机器人实践2：制作一架固定翼空中机器人
大数据分析原理和应用,海沫,中央财经大学,第一章 绪论大数据的产生背景与概念大数据的特点和技术概述大数据的应用与价值体现大数据时代的思维变革第二章 开源大数据平台开源大数据平台（Hadoop）开源大数据平台（Spark）简明实验指南第三章 Hadoop分布式文件系统——HDFS3.1HDFS概述3.2HDFS体系结构3.3&3.4HDFS存储原理与优缺点分析补充材料：熟悉常用的HDFS操作补充材料：相关论文第四章 MapReduce并行编程模型4.1概述4.2MapReduce体系结构4.3MapReduce工作流程4.4MapReduce实例分析4.5MapReduce编程实践4.6MapReduce优缺点分析4.7MapReduce编程实践教学视频第四章上机实验补充资料：相关论文第五章 Hadoop 2.0的资源管理调度框架——YARN5.1 YARN产生的背景 &5.2 YARN设计思路5.3 YARN体系结构5.4 YARN工作流程5.5 YARN优缺点分析第六章 大数据的获取6.1 网络爬虫基础知识6.2 Requests库6.3 Beautiful Soup库6.4 综合实验第七章 大数据分析算法7.1 聚类算法7.2 分类算法第八章 大数据分析应用8.1大数据分析在商业中的应用（大数据营销）8.2 大数据分析在投资中的应用8.3 大数据分析在保险中的应用8.4 大数据分析在银行中的应用
C语言程序设计进阶,翁恺,浙江大学,第1周：指针与字符串1 指针的使用2 指针运算3 字符串操作4 字符串函数的实现第1周编程题第2周：ACLLib的基本图形函数ACLLib入门第3周：结构类型1 枚举2 结构3 联合第4周：链表1 可变数组2  链表第4周编程练习第5周：程序结构1 全局变量2 编译预处理和宏3 大程序结构第6周：交互图形设计1 图形程序的终端输入输出2 函数指针及其应用3 交互图形程序设计4 游戏设计思路第7周：文件1 文件2 位运算
高级语言程序设计（Python）,车万翔,哈尔滨工业大学,第一周：程序设计的基础知识程序设计的基础知识第二周：数据类型、运算符与表达式、变量赋值与简单I/O操作2.1 对象和类型2.2 运算符与表达式2.3 变量与简单I/O第三周：程序控制结构3.1：选择结构3.2：循环结构3.3：编程练习第四周：函数与递归函数4.2：递归函数4.1：函数第五周：字符串5.1：字符串第六周：列表与元组6.1：列表6.2：元组第七周：字典与集合7.1：字典和集合
操作系统,李治军,哈尔滨工业大学,操作系统基础L1 什么是操作系统L2 开始揭开钢琴的盖子L3 操作系统启动L4 操作系统接口L5 系统调用的实现L6 操作系统历史L7 我们的学习任务实验项目1 控制系统启动实验项目2 添加系统调用进程与线程L8 CPU管理的直观想法L9 多进程图像L10 用户级线程L11 内核级线程L12 内核级线程实现L13 操作系统之“树”L14 CPU调度策略L15 一个实际的schedule函数L16 进程同步与信号量L17 信号量临界区保护L18 信号量的代码实现L19 死锁处理实验项目3 进程运行轨迹的跟踪与统计内存管理L20 内存使用与分段L21 内存分区与分页L22 多级页表与快表L23 段页结合的实际内存管理L24 内存换入-请求调页L25 内存换出实验项目4 地址映射与共享设备驱动与文件系统L26 I/O与显示器L27 键盘L28 生磁盘的使用L29 从生磁盘到文件L30 文件使用磁盘的实现L31 目录与文件系统L32 目录解析代码实现实验项目 5 终端设备的控制
高级语言程序设计（Python）CAP,车万翔,哈尔滨工业大学,第一周：程序设计的基础知识程序设计的基础知识第二周：数据类型、运算符与表达式、变量赋值与简单I/O操作2.1 对象和类型2.2 运算符与表达式2.3 变量与简单I/O第三周：程序控制结构3.1：选择结构3.2：循环结构3.3：编程练习第四周：函数与递归函数4.1：函数4.2：递归函数第五周：字符串5.1：字符串第六周：列表与元组6.1：列表6.2：元组第七周：字典与集合7.1：字典和集合
C语言程序设计——快速入门与提高,吕春利,中国农业大学,第一单元——C语言概论课程目标——促进我们思考智能课程目标——促进人和机器的交流（举例了火星车）课程目标——机器为人服务的例子（医院CT的原理）准备编程——认识编译器、源代码和可执行程序的关系开始编程——用printf输出文字和回车符教师答疑——用虚拟机架设编译环境VC6的操作小技巧——虚拟机和物理机共享剪贴板学习思路——教学思路介绍人工智能——学术文献，感兴趣者可以读读，完全是课外读物DEVC++的安装和使用第二单元——顺序结构：从先到后一步一步执行模仿案例1——初中物理题求铅球的重量模仿案例2——给程序输入数据的scanf函数的使用模仿案例3——一元二次实数求解模仿案例4——求余数和强制类型转换综合练习优先级口诀请根据本单元内容设计两道题，选择或判断题第三单元——循环结构：有条件的周而复始模仿案例1——从1加到100用while循环完成模仿案例2——计算PI的值模仿案例3——斐波那契数列的第n项模仿案例4——for循环实现阶乘模仿案例5——for实现斐波那契相邻比之和教学相长——请出一道判断题或选择题第四单元——分支结构：分而治之分支案例1——基本的if分支实现分段函数分支案例2——韩信点兵if和while的结合使用分支案例3——输入三个数排序输出分支案例4——判断一个年份是否为闰年分支案例5——简单的计算器分支案例6——复数域内求解一元二次方程请设计一道引起同学的兴趣和欲望的编程题创建一道题目第五单元——顺序分支循环综合应用：训练编程思维，解决实际问题计算机模拟实验：计算机模拟实验的基石——随机函数rand（）计算机模拟实验：用实验测量圆周率PI计算机模拟实验：一孩半计划生育政策会不会影响男女平衡探索世界难题：奇偶归一猜想的验证把你的智慧给电脑：设计游戏——抢最后一根你能想到的可以用计算模拟实验去解决的问题训练编程思维，编程训练训练编程思维，解决实际问题你能否设计一个游戏？第六单元——循环进阶：找规律训练找规律找规律训练——乘法口诀表的实现找规律训练2——菱形字母阵列的实现凯撒密码的实现第七单元——分支循环再练：用计算机推理新郎新娘配对推理某中学社团的招聘题目第八单元——映射客观世界的新工具——数组：批量数据处理数组的定义和使用小时候玩的扑克牌神奇序列游戏字符数组与字符串数组：批量数据处理第九单元——模块设计与代码重用的载体：函数函数的定义需要背下来的一个函数代码——素数判断通用的解方程的方法——二分法解方程未解之谜——歌德巴赫猜想验证模块设计与代码重用的载体：函数第十单元——模块设计与代码重用的载体：变量类型和递归函数函数与变量类型递归函数——函数直接或间接自己调用自己递归函数——奥数题目递归函数经典例子——汉诺塔变量类型和递归函数第十一单元——函数与数组，数组做函数的参数计算模拟实验——你换不换手计算机模拟实验——扑克牌序列计算机模拟实验——投骰子计算机模拟实验——蒙特卡洛方法——同一天过生日的概率问题函数与数组，数组做函数的参数第十二单元——指针：就是地址变量指针变量——地址变量的定义函数形参与实参结合——指针的作用之一数组做函数的参数函数指针及应用指针和一维数组7mallc与free第十三单元——结构体和文件结构体和文件结构体和文件读写1第十四章——位运算和文件加密Tea加密算法背景介绍main参数与程序分析二进制文件的读与写位运算符与Tea算法Tea加密算法
零基础学Python语言CAP,嵩天,北京理工大学,本课程共有3个教学单元，课程大纲如下：单元1：Python快速入门 (2周)第1周：基本程序设计教学内容：计算机的概念、程序设计语言类型（编译型、解释型）、程序设计语言种类、Python语言初见、Python语言开发环境配置、基本的程序设计方法IPO第2周：Python程序入门教学内容：Python程序设计实例剖析、Python语言元素：程序框架、注释、常量、变量、表达式、输入输出、赋值、分支、循环、函数等、 结合Turtle库的图形输出编程实例剖析、 程序设计模板。单元2：Python语言语法 (2周) Python语言语法 (2周)第3周：类型及应用、程序控制结构 程序控制结构教学内容：类型的概念、数字类型、数学函数的使用、字符串类型、字符串的各种处理方法、元组类型、列表类型、列表的各种使用方法。第4周：函数和递归 函数和递归教学内容：函数、函数调用方法、函数返回值、函数与程序结构、递归及使用。第5周：交互式图形编程教学内容：程序设计方法学、图形对象概念、交互式图形用户接口、图形库应用方法、turtle库。 程序设计方法学、第6周：教学内容：turtle库的使用、图形艺术。
